CD,Name,Family,DBH1,DBH2,Time
XANTEU,Xanthophyllum_eurhynchum,Polygalaceae,5.3,6.2,10.137
XANTGR,Xanthophyllum_griffithii,Polygalaceae,3.3,4.1,10.263
XANTRU,Xanthophyllum_rufum,Polygalaceae,17.6,23.9,11.197
HEL2VE,Heliciopsis_velutina,Proteaceae,2.7,4.4,10.301
DRYPKI,Drypetes_kikir,Putranjivaceae,3,3.2,10.26
DRYPLA,Drypetes_laevis,Putranjivaceae,2,2,10.118
DRYPLO,Drypetes_longifolia,Putranjivaceae,2.6,3.7,10.238
DRYPPE,Drypetes_pendula,Putranjivaceae,2.3,3.2,10.162
DRYPPO,Drypetes_polyneura,Putranjivaceae,3.2,3.1,10.458
CARABR,Carallia_brachiata,Rhizophoraceae,7.4,7.8,10.496
GYNOAX,Gynotroches_axillaris,Rhizophoraceae,2.8,3.5,10.247
PRUNAR,Prunus_arborea,Rosaceae,2.1,3.3,10.104
PRUNGR,Prunus_grisea,Rosaceae,30.8,32.7,10.049
AIDIWA,Aidia_wallichiana,Rubiaceae,10.1,15.8,10.389
DIPLMA,Diplospora_malaccensis,Rubiaceae,4.8,5.8,10.11
HYPORA,Hypobathrium_racemosum,Rubiaceae,3.8,4.9,10.233
HYPOVE,Hypobathrium_venulosum,Rubiaceae,9,9.8,10.211
IXORC1,Ixora_concinna,Rubiaceae,4.6,5.7,10.151
IXORC2,Ixora_congesta,Rubiaceae,20.6,20.8,10.263
IXORGG,Ixora_grandifolia,Rubiaceae,3.6,4,10.422
IXORLO,Ixora_lobbii,Rubiaceae,2.7,3.9,10.268
NAUCOF,Nauclea_officinalis,Rubiaceae,5,6.5,10.118
PAVEGR,Pavetta_graciliflora,Rubiaceae,2,1.9,10.367
PAVES1,Pavetta_species,Rubiaceae,2.1,2.5,10.266
PORTAN,Porterandia_anisophylla,Rubiaceae,2.7,3,10.414
PSYDS8,Psydrax_species8,Rubiaceae,4.2,4.8,10.11
TARES8,Tarenna_species8,Rubiaceae,4,4.1,10.43
TIMOWA,Timonius_wallichianus,Rubiaceae,2.4,3,10.323
UROPGL,Urophyllum_glabrum,Rubiaceae,2.9,3,10.227
UROPHI,Urophyllum_hirsutum,Rubiaceae,3.3,3.8,10.353
ACROPO,Maclurodendron_porteri,Rutaceae,6.2,8.1,11.244
GLYCCH,Glycosmis_chlorosperma,Rutaceae,2.4,4.8,10.485
FLACRU,Flacourtia_rukam,Salicaceae,4.9,6.6,10.419
HOMADI,Homalium_dictyoneurum,Salicaceae,2,2.3,11.205
HOMALO,Homalium_longifolium,Salicaceae,3.5,4.4,11.247
SCA1SP,Scaphocalyx_spathacea,Salicaceae,9.1,10.6,10.29
SCOLSP,Scolopia_spinosa,Salicaceae,9,10.9,10.227
SCLEWA,Scleropyrum_wallichianum,Santalaceae,2.4,3.1,10.507
LEPIFR,Lepisanthes_fruticosa,Sapindaceae,2.3,3.2,10.532
LEPISE,Lepisanthes_senegalensis,Sapindaceae,28.1,32,10.071
LEPITE,Lepisanthes_tetraphylla,Sapindaceae,2.3,3.2,10.589
NEPHCO,Nephelium_costatum,Sapindaceae,5.2,5.4,10.315
NEPHER,Nephelium_cuspidatum,Sapindaceae,3.7,4.3,10.101
NEPHMA,Nephelium_maingayi,Sapindaceae,2.3,2.7,10.266
NEPHOP,Nephelium_ophioides,Sapindaceae,2.7,2.7,10.268
POMEPA,Pometia_pinnata,Sapindaceae,5.7,6.7,10.164
XERONO,Xerospermum_noronhianum,Sapindaceae,4.7,-0.1,10.09
MADHMA,Madhuca_malaccensis,Sapotaceae,2,-0.1,10.227
PALAHE,Palaquium_hexandrum,Sapotaceae,18.8,-0.1,10.51
PAYELU,Payena_lucida,Sapotaceae,6.2,-0.1,10.129
EURYLO,Eurycoma_longifolia,Simaroubaceae,4.8,-0.1,10.052
SYMPCR,Symplocos_crassipes,Symplocaceae,10.4,-0.1,10.153
